"Agency","Subagency","accountID","Title","Obligation"
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2305,"Early Retiree Reinsurance Program",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2306,"Affordable Insurance Exchange Grants",3033801.66
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2495,"Risk Adjustment Program Payments",354605356.3
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2496,"Transitional Reinsurance Program",4617876839
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2366,"Consumer Operated Oriented Plan Program Contingency Fund",789376
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2309,"Consumer Operated and Oriented Plan Program Account",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2511,"Federal Hospital Insurance Trust Fund - Treasury Managed",147611183597
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2523,"Health Care Fraud and Abuse Control Account",939888167.88
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2510,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed",152964306293
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2522,"Medicare Prescription Drug Account",42615955950
"Department of Health and Human Services","Administration for Children and Families",2464,"Temporary Assistance for Needy Families",8450082599.93
"Department of Health and Human Services","Administration for Children and Families",2456,"Contingency Fund for State Welfare Programs",574445328
"Department of Health and Human Services","Administration for Children and Families",2457,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act",0
"Department of Health and Human Services","Administration for Children and Families",2449,"Payments to States for Child Support Enforcement and Family Support Programs",1965308449
"Department of Health and Human Services","Administration for Children and Families",2450,"Low Income Home Energy Assistance",3009699349.83
"Department of Health and Human Services","Administration for Children and Families",2451,"Refugee and Entrant Assistance",1208617326.47
"Department of Health and Human Services","Administration for Children and Families",2453,"Promoting Safe and Stable Families",272824311.33
"Department of Health and Human Services","Administration for Children and Families",2463,"Child Care Entitlement to States",1677192879
"Department of Health and Human Services","Administration for Children and Families",2454,"Payment to States for the Child Care and Development Block Grant",1553046716.38
"Department of Health and Human Services","Administration for Children and Families",2458,"Social Services Block Grant",919579755.88
"Department of Health and Human Services","Administration for Children and Families",2459,"Children and Families Services Programs",3974920973.17
"Department of Health and Human Services","Administration for Children and Families",2465,"Children's Research and Technical Assistance",16640129.46
"Department of Health and Human Services","Administration for Children and Families",2461,"Payments for Foster Care and Permanency",3986748970.12
"Department of Health and Human Services","Administration for Community Living",2323,"Aging and Disability Services Programs",906107747.25
"Department of Health and Human Services","Departmental Management",2311,"General Departmental Management",185235984.51
"Department of Health and Human Services","Departmental Management",2327,"Payment to the State Response to the Opioid Abuse Crisis Account, CURES Act",0
"Department of Health and Human Services","Departmental Management",2319,"Office for Civil Rights",17126302.61
"Department of Health and Human Services","Departmental Management",2317,"Office of the National Coordinator for Health Information Technology",21259176.19
"Department of Health and Human Services","Departmental Management",2318,"Office of the National Coordinator for Health Information Technology - Recovery Act",0
"Department of Health and Human Services","Departmental Management",2320,"Medicare Appeals",45598124
"Department of Health and Human Services","Departmental Management",2321,"Public Health and Social Services Emergency Fund",632180322.76
"Department of Health and Human Services","Departmental Management",2326,"Transfers from the Patient-Centered Outcome Research Trust Fund",26889780.36
"Department of Health and Human Services","Departmental Management",2314,"Nonrecurring Expense Fund",59033079.78
"Department of Health and Human Services","Departmental Management",2310,"Health Insurance Reform Implementation Fund",3338.89
"Department of Health and Human Services","Departmental Management",2307,"Prevention and Public Health Fund",0
"Department of Health and Human Services","Departmental Management",2308,"Pregnancy Assistance Fund",271809.98
"Department of Health and Human Services","Departmental Management",2470,"Section  Transactions Account",200000005.3
"Department of Health and Human Services","Program Support Center",2349,"Retirement Pay and Medical Benefits for Commissioned Officers",285251857.88
"Department of Health and Human Services","Program Support Center",2330,"HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund",27873208
"Department of Health and Human Services","Program Support Center",2442,"Scientific Activities Overseas",0
"Department of Health and Human Services","Program Support Center",2443,"Public Health Emergency Fund",0
"Department of Health and Human Services","Program Support Center",2483,"HHS Service and Supply Fund",672265043.3
"Department of Health and Human Services","Program Support Center",2512,"Contributions, Indian Health Facilities",6711119.67
"Department of Health and Human Services","Program Support Center",2515,"Food and Drug Administration Unconditional Gift Fund",0
"Department of Health and Human Services","Program Support Center",2516,"National Institutes of Health Unconditional Gift Fund",611971.34
"Department of Health and Human Services","Program Support Center",2517,"Unconditional Gift Fund",0
"Department of Health and Human Services","Program Support Center",2518,"Gifts and Donations",9648713.13
"Department of Health and Human Services","Program Support Center",2519,"National Institutes of Health Conditional Gift Fund",14666016.56
"Department of Health and Human Services","Program Support Center",2520,"Conditional Gift Fund",0
"Department of Health and Human Services","Program Support Center",2529,"Patients' Benefit Fund",0
"Department of Health and Human Services","Program Support Center",2530,"Patients' Benefit Fund",550
"Department of Health and Human Services","Program Support Center",2524,"Administration on Aging Gift Fund",0
"Department of Health and Human Services","Program Support Center",2525,"Indian Health Service Gift Fund",31920.87
"Department of Health and Human Services","Program Support Center",2526,"Agency for Healthcare Research and Quality Gift Fund",907456.54
"Department of Health and Human Services","Program Support Center",2527,"Substance Abuse and Mental Health Administration Gift Fund",0
"Department of Health and Human Services","Program Support Center",2528,"Office of the Secretary Gift Fund",0
"Department of Health and Human Services","Office of the Inspector General",2315,"Office of the Inspector General",181160523.65
"Department of Health and Human Services","Office of the Inspector General",2316,"Office of Inspector General - Recovery Act",0
"Department of Homeland Security","Office of the Secretary and Executive Management",2053,"Office of the Secretary and Executive Management",67164892.68
"Department of Homeland Security","Office of the Secretary and Executive Management",2054,"Counterterrorism Fund",0
"Department of Homeland Security","Office of the Secretary and Executive Management",2056,"Office of the Secretary and Executive Management",2001923.61
"Department of Homeland Security","Office of the Secretary and Executive Management",2199,"Gifts and Donations",0
"Department of Homeland Security","Office of the Under Secretary for Management",2058,"Office of the Under Secretary for Management",281460457.5
"Department of Homeland Security","Office of the Under Secretary for Management",2057,"Office of the Under Secretary for Management",8203766.75
"Department of Homeland Security","Office of the Under Secretary for Management",2055,"Department-Wide Technology Investments",2497840.43
"Department of Homeland Security","Office of the Under Secretary for Management",2059,"Office of the Chief Information Officer",7988651.24
"Department of Homeland Security","Office of the Under Secretary for Management",2072,"Procurement, Construction, and Improvements",7543134.57
"Department of Homeland Security","Office of the Under Secretary for Management",2141,"Research and Development",10000
"Department of Homeland Security","Office of the Under Secretary for Management",2155,"Working Capital Fund Departmental Management",209640781.8
"Department of Homeland Security","Analysis and Operations",2060,"Analysis and Operations",102092773.08
"Department of Homeland Security","Office of the Inspector General",2064,"Operations and Support",85693562.64
"Department of Homeland Security","Office of the Inspector General",2065,"Office of Inspector General - Recovery Act",0
"Department of Homeland Security","U.S. Customs and Border Protection",2089,"Operations and Support",6113009609.02
"Department of Homeland Security","U.S. Customs and Border Protection",2081,"Customs and Border Protection",400701.31
"Department of Homeland Security","U.S. Customs and Border Protection",2178,"Customs and Border Protection Services at User Fee Facilities",11466100.15
"Department of Homeland Security","U.S. Customs and Border Protection",2158,"Customs and Border Protection",235827444.5
"Department of Homeland Security","U.S. Customs and Border Protection",2160,"Customs and Border Protection",23311753
"Department of Homeland Security","U.S. Customs and Border Protection",2169,"Immigration Enforcement Account",1492554.94
"Department of Homeland Security","U.S. Customs and Border Protection",2179,"Customs and Border Protection, Customs User Fees Account",320438650.1
"Department of Homeland Security","U.S. Customs and Border Protection",2205,"Customs and Border Protection",0
"Department of Homeland Security","U.S. Customs and Border Protection",2092,"Border Security Fencing",77561503.73
"Department of Homeland Security","U.S. Customs and Border Protection",2090,"Automation Modernization",16703507.66
"Department of Homeland Security","U.S. Customs and Border Protection",2091,"Procurement, Construction, and Improvements",52449819.38
"Department of Homeland Security","U.S. Customs and Border Protection",2100,"Air and Marine Operations",21003737.25
"Department of Homeland Security","U.S. Customs and Border Protection",2156,"Advanced Training Center Revolving Fund",0
"Department of Homeland Security","U.S. Customs and Border Protection",2153,"Enhanced Inspectional Services",4856402.05
"Department of Homeland Security","U.S. Customs and Border Protection",2177,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico",30041999.17
"Department of Homeland Security","U.S. Customs and Border Protection",2170,"Payments to Wool Manufacturers",0
"Department of Homeland Security","U.S. Customs and Border Protection",2172,"International Registered Traveler Program Fund",39512420.52
"Department of Homeland Security","U.S. Customs and Border Protection",2175,"Electronic System for Travel Authorization",12935196.34
"Department of Homeland Security","U.S. Customs and Border Protection",2174,"APEC Business Travel Card Account",0
"Department of Homeland Security","U.S. Customs and Border Protection",2181,"9-11 Response and Biometric Exit Account",3329379.08
"Department of Homeland Security","U.S. Customs and Border Protection",2209,"Refunds, Transfers and Expenses, Abandoned and Seized Goods",765809.73
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2096,"Operations and Support",3383668330.14
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2082,"Immigration and Customs Enforcement",0
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2163,"Student and Exchange Visitor Program",74571252.33
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2208,"Violent Crime Reduction Program",0
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2162,"Breach Bond/Detention Fund",21237992.32
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2164,"Immigration User Fee Account, BICE",85371593.39
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2171,"Detention and Removal Operations",0
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2099,"Automation Modernization",8009818.81
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2101,"Procurement, Construction, and Improvements",2303917.52
"Department of Homeland Security","Transportation Security Administration",2103,"Operations and Support",3197925458.25
"Department of Homeland Security","Transportation Security Administration",2084,"Expenses",0
"Department of Homeland Security","Transportation Security Administration",2097,"Federal Air Marshals",17515.26
"Department of Homeland Security","Transportation Security Administration",2167,"Unclaimed Checkpoint Money",32483.5
"Department of Homeland Security","Transportation Security Administration",2173,"Airport Checkpoint Screening Fund",93017.22
"Department of Homeland Security","Transportation Security Administration",2104,"Surface Transportation Security",470717.17
"Department of Homeland Security","Transportation Security Administration",2108,"Intelligence and Vetting",24624449.06
"Department of Homeland Security","Transportation Security Administration",2106,"Transportation Security Support",10485794.8
"Department of Homeland Security","Transportation Security Administration",2105,"Research and Development",0
"Department of Homeland Security","Transportation Security Administration",2074,"Procurement, Construction, and Improvements",34564697.99
"Department of Homeland Security","Transportation Security Administration",2165,"Aviation Security Capital Fund",14432260.5
"Department of Homeland Security","Transportation Security Administration",2142,"Research and Development",0
"Department of Homeland Security","United States Coast Guard",2117,"Operating Expenses",3334290689.77
"Department of Homeland Security","United States Coast Guard",2118,"Environmental Complaince and Restoration",4725324.36
"Department of Homeland Security","United States Coast Guard",2119,"Reserve Training",49544367
"Department of Homeland Security","United States Coast Guard",2120,"Acquisition, Construction, and Improvements",880067399.44
"Department of Homeland Security","United States Coast Guard",2121,"Alteration of Bridges",0
"Department of Homeland Security","United States Coast Guard",2122,"Research, Development, Test, and Evaluation",8483191.79
"Department of Homeland Security","United States Coast Guard",2123,"Medicare-Eligible Retiree Health Fund Contribution",175506151
"Department of Homeland Security","United States Coast Guard",2116,"Retired Pay",826080203.4
"Department of Homeland Security","United States Coast Guard",2154,"Supply Fund",22312636.28
"Department of Homeland Security","United States Coast Guard",2157,"Yard Fund",60068152.76
"Department of Homeland Security","United States Coast Guard",2196,"Sport Fish Restoration and Boating Trust Fund",0
"Department of Homeland Security","United States Coast Guard",2197,"Boat Safety",108299943.2
"Department of Homeland Security","United States Coast Guard",2206,"General Gift Fund",914722.34
"Department of Homeland Security","United States Coast Guard",2198,"Oil Spill Liability Trust Fund-Treasury Managed",56150.02
"Department of Homeland Security","United States Coast Guard",2202,"Oil Spill Recovery",7301976.79
"Department of Homeland Security","United States Coast Guard",2200,"Payment of Claims (Oil Spill Liability Trust Fund)",3087740.1
"Department of Homeland Security","United States Secret Service",2067,"Operations and Support",837747779.02
"Department of Homeland Security","United States Secret Service",2071,"Contribution for Annuity Benefits",103925704.9
"Department of Homeland Security","United States Secret Service",2068,"Procurement, Construction, and Improvements",18777251.88
"Department of Homeland Security","United States Secret Service",2144,"Research and Development",0
"Department of Homeland Security","National Protection and Programs Directorate",2114,"Operations and Support",400599592.47
"Department of Homeland Security","National Protection and Programs Directorate",2150,"Operating Expenses",0
"Department of Homeland Security","National Protection and Programs Directorate",2113,"Infrastructure Protection and Information Security",126378269.65
"Department of Homeland Security","National Protection and Programs Directorate",2098,"Federal Protective Service",989350373
"Department of Homeland Security","National Protection and Programs Directorate",2088,"Office of Biometric Identity Management",1378461.13
"Department of Homeland Security","National Protection and Programs Directorate",2134,"Biodefense Countermeasures",21.11
"Department of Homeland Security","National Protection and Programs Directorate",2076,"Procurement, Construction, and Improvements",27292271.54
"Department of Homeland Security","National Protection and Programs Directorate",2145,"Research and Development",1638183.28
"Department of Homeland Security","Office of Health Affairs",2062,"Operations and Support",23799422.52
"Department of Homeland Security","Federal Emergency Management Agency",2077,"Federal Assistance",88767754.67
"Department of Homeland Security","Federal Emergency Management Agency",2126,"Operations and Support",365076028.57
"Department of Homeland Security","Federal Emergency Management Agency",2109,"State and Local Programs",811317.98
"Department of Homeland Security","Federal Emergency Management Agency",2087,"Office of Domestic Preparedness",0
"Department of Homeland Security","Federal Emergency Management Agency",2110,"Firefighter Assistance Grants",10050106.89
"Department of Homeland Security","Federal Emergency Management Agency",2138,"Emergency Management Performance Grants",5178877.25
"Department of Homeland Security","Federal Emergency Management Agency",2135,"Radiological Emergency Preparedness Program",12868105.49
"Department of Homeland Security","Federal Emergency Management Agency",2112,"United States Fire Administration",41005.92
"Department of Homeland Security","Federal Emergency Management Agency",2128,"Disaster Relief",3134279083
"Department of Homeland Security","Federal Emergency Management Agency",2080,"Flood Hazard Mapping and Risk Analysis Program",16155243.39
"Department of Homeland Security","Federal Emergency Management Agency",2152,"National Flood Insurance Fund",2367142306
"Department of Homeland Security","Federal Emergency Management Agency",2180,"National Flood Insurance Reserve Fund",1488880503
"Department of Homeland Security","Federal Emergency Management Agency",2136,"National Predisaster Mitigation Fund",20383593.56
"Department of Homeland Security","Federal Emergency Management Agency",2127,"Grant Programs",0
"Department of Homeland Security","Federal Emergency Management Agency",2130,"Emergency Food and Shelter",0
"Department of Homeland Security","Federal Emergency Management Agency",2132,"Preparedness, Mitigation, Response, and Recovery",0
"Department of Homeland Security","Federal Emergency Management Agency",2133,"Administrative and Regional Operations",0
"Department of Homeland Security","Federal Emergency Management Agency",2129,"Disaster Assistance Direct Loan Program Account",2339484.65
"Department of Homeland Security","Federal Emergency Management Agency",2078,"Procurement, Construction, and Improvements",3772490.91
"Department of Homeland Security","Citizenship and Immigration Services",2066,"Operations and Support",39808239.13
"Department of Homeland Security","Citizenship and Immigration Services",2159,"Immigration Examination Fees",1889634978
"Department of Homeland Security","Citizenship and Immigration Services",2161,"Immigration Services, H- B Funded",9749999.45
"Department of Homeland Security","Citizenship and Immigration Services",2166,"H-B and L Fraud Prevention and Detection Account",16197019.83
"Department of Homeland Security","Citizenship and Immigration Services",2073,"Procurement, Construction, and Improvements",0
"Department of Homeland Security","Federal Law Enforcement Training Center",2085,"Operations and Support",176568312
"Department of Homeland Security","Federal Law Enforcement Training Center",2086,"Procurement, Construction, and Improvements",8140872.56
"Department of Homeland Security","Science and Technology",2140,"Operations and Support",159528651.29
"Department of Homeland Security","Science and Technology",2146,"Management and Administration",2345745.12
"Department of Homeland Security","Science and Technology",2143,"Research and Development",95756640.86
"Department of Homeland Security","Domestic Nuclear Detection Office",2148,"Operations and Support",81893908.44
"Department of Homeland Security","Domestic Nuclear Detection Office",2147,"Research and Development",55503988.94
"Department of Homeland Security","Domestic Nuclear Detection Office",2149,"Acquisition, Construction, and Improvements",25265927.02
"Department of Homeland Security","Domestic Nuclear Detection Office",2149,"Procurement, Construction, and Improvements",563877.67
"Department of Homeland Security","Domestic Nuclear Detection Office",2075,"Federal Assistance",3995872.46
"Department of Housing and Urban Development","Public and Indian Housing Programs",2609,"Tenant-Based Rental Assistance",12551808673
"Department of Housing and Urban Development","Public and Indian Housing Programs",2615,"Prevention of Resident Displacement",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2620,"Housing Certificate Fund",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2611,"Public Housing Capital Fund",42281567.17
"Department of Housing and Urban Development","Public and Indian Housing Programs",2582,"Public Housing Operating Fund",1695952980
"Department of Housing and Urban Development","Public and Indian Housing Programs",2594,"Drug Elimination Grants for Low-Income Housing",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2643,"Choice Neighborhoods Initiative",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2599,"Revitalization of Severely Distressed Public Housing, (HOPE VI)",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2644,"Family Self-Sufficiency",0
"Department of Housing and Urban Development","Public and Indian Housing Programs",2616,"Native American Housing Block Grants",43695836.44
"Department of Housing and Urban Development","Public and Indian Housing Programs",2605,"Native Hawaiian Housing Block Grant",369.66
"Department of Housing and Urban Development","Public and Indian Housing Programs",2602,"Indian Housing Loan Guarantee Fund Program Account",3756282.86
"Department of Housing and Urban Development","Public and Indian Housing Programs",2603,"Native Hawaiian Housing Loan Guarantee Fund Program Account",0
"Department of Housing and Urban Development","Community Planning and Development",2614,"Housing Opportunities for Persons with AIDS",77420433
"Department of Housing and Urban Development","Community Planning and Development",2581,"Community Development Fund",5900635284.46
"Department of Housing and Urban Development","Community Planning and Development",2618,"Empowerment Zones/Enterprise Communities",0
"Department of Housing and Urban Development","Community Planning and Development",2617,"Brownfields Redevelopment",0
"Department of Housing and Urban Development","Community Planning and Development",2598,"Home Investment Partnerships Program",213760073.84
"Department of Housing and Urban Development","Community Planning and Development",2685,"Housing Trust Fund",111732448
"Department of Housing and Urban Development","Community Planning and Development",2585,"Self-Help and Assisted Homeownership Opportunity Program",49432079
"Department of Housing and Urban Development","Community Planning and Development",2638,"Neighborhood Stabilization Program",18032141
"Department of Housing and Urban Development","Community Planning and Development",2591,"Homeless Assistance Grants",2127250330.74
"Department of Housing and Urban Development","Community Planning and Development",2636,"Permanent Supportive Housing",0
"Department of Housing and Urban Development","Community Planning and Development",2622,"Rural Housing and Economic Development",0
"Department of Housing and Urban Development","Community Planning and Development",2649,"Revolving Fund, Liquidating Programs",145
"Department of Housing and Urban Development","Community Planning and Development",2595,"Community Development Loan Guarantees Program Account",0
"Department of Housing and Urban Development","Community Planning and Development",2659,"Section -Community Development Guaranteed Loans, Liquidating Account",0
"Department of Housing and Urban Development","Housing Programs",2610,"Project-Based Rental Assistance",5486084835
"Department of Housing and Urban Development","Housing Programs",2621,"Housing for the Elderly",210410311.68
"Department of Housing and Urban Development","Housing Programs",2607,"Housing for Persons with Disabilities",61165086.18
"Department of Housing and Urban Development","Housing Programs",2579,"Housing Counseling Assistance",61020.68
"Department of Housing and Urban Development","Housing Programs",2645,"Energy Innovation Fund",0
"Department of Housing and Urban Development","Housing Programs",2647,"Emergency Homeowner's Relief Fund",0
"Department of Housing and Urban Development","Housing Programs",2653,"College Housing Loans",0
"Department of Housing and Urban Development","Housing Programs",2578,"Rental Housing Assistance",14813972.26
"Department of Housing and Urban Development","Housing Programs",2575,"Rent Supplement",4280149
"Department of Housing and Urban Development","Housing Programs",2593,"Homeownership and Opportunity for People Everywhere Grants (HOPE Grants)",0
"Department of Housing and Urban Development","Housing Programs",2650,"Rental Housing Assistance Fund",0
"Department of Housing and Urban Development","Housing Programs",2652,"Flexible Subsidy Fund",0
"Department of Housing and Urban Development","Housing Programs",2637,"Home Ownership Preservation Entity Fund Program Account",0
"Department of Housing and Urban Development","Housing Programs",2655,"Nehemiah Housing Opportunity Fund",0
"Department of Housing and Urban Development","Housing Programs",2587,"Mutual Mortgage Insurance Program Account",24166502.87
"Department of Housing and Urban Development","Housing Programs",2606,"FHA",0
"Department of Housing and Urban Development","Housing Programs",2654,"Federal Housing Administration Fund",7567439.96
"Department of Housing and Urban Development","Housing Programs",2596,"General and Special Risk Program Account",0
"Department of Housing and Urban Development","Housing Programs",2656,"FHA-General and Special Risk Insurance Fund Liquidating Account",36352755.05
"Department of Housing and Urban Development","Housing Programs",2664,"Housing for the Elderly or Handicapped Fund",1113606.75
"Department of Housing and Urban Development","Housing Programs",2684,"Manufactured Housing Fees Trust Fund",947403.26
"Department of Housing and Urban Development","Government National Mortgage Association",2608,"Guarantees of Mortgage-Backed Securities Capital Reserve Account",0
"Department of Housing and Urban Development","Government National Mortgage Association",2588,"Guarantees of Mortgage-Backed Securities Loan Guarantees",238136994.78
"Department of Housing and Urban Development","Government National Mortgage Association",2665,"Guarantees of Mortgage-Backed Securities Fund",149306.86
"Department of Housing and Urban Development","Policy Development and Research",2574,"Research and Technology",7440058.48
"Department of Housing and Urban Development","Fair Housing and Equal Opportunity",2577,"Fair Housing Activities",68376.25
"Department of Housing and Urban Development","Office of Lead Hazard Control and Healthy Homes",2584,"Lead Hazard Reduction",54765.07
"Department of Housing and Urban Development","Management and Administration",2626,"Executive Offices",6481748.05
"Department of Housing and Urban Development","Management and Administration",2629,"Administrative Support Offices",261623981.12
"Department of Housing and Urban Development","Management and Administration",2624,"Administration, Operations, and Management-Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2631,"Public and Indian Housing",109809636.02
"Department of Housing and Urban Development","Management and Administration",2639,"Personnel Compensation and Benefits - Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2632,"Community Planning and Development",56081233.08
"Department of Housing and Urban Development","Management and Administration",2640,"Personnel Compensation and Benefits - Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2628,"Housing, Program Office Salaries and Expenses",189890504.04
"Department of Housing and Urban Development","Management and Administration",2633,"Policy Development and Research",11745552.49
"Department of Housing and Urban Development","Management and Administration",2634,"Fair Housing and Equal Opportunity",35544321.03
"Department of Housing and Urban Development","Management and Administration",2635,"Office of Healthy Homes and Lead Hazard Control",3706024.89
"Department of Housing and Urban Development","Management and Administration",2641,"Personnel Compensation and Benefits - Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2576,"Salaries and Expenses",122751.85
"Department of Housing and Urban Development","Management and Administration",2589,"Office of Inspector General",67158583.49
"Department of Housing and Urban Development","Management and Administration",2590,"Office of Inspector General-Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2674,"Information Technology Fund",33341019.22
"Department of Housing and Urban Development","Management and Administration",2673,"Working Capital Fund - Recovery Act",0
"Department of Housing and Urban Development","Management and Administration",2677,"Working Capital Fund",20797212.57
"Department of Housing and Urban Development","Management and Administration",2646,"Transformation Initiative",267201.97
"Department of Housing and Urban Development","Management and Administration",2683,"Gifts and Bequests",0
"Department of the Interior","Bureau of Land Management",661,"Management of Lands and Resources",460356465.23
"Department of the Interior","Bureau of Land Management",662,"Construction",227773.73
"Department of the Interior","Bureau of Land Management",665,"Oregon and California Grant Lands",45259803
"Department of the Interior","Bureau of Land Management",715,"Abandoned Well Remediation Fund",9986185.8
"Department of the Interior","Bureau of Land Management",744,"Land Acquisition",8045682.59
"Department of the Interior","Bureau of Land Management",768,"Range Improvements",1282223.95
"Department of the Interior","Bureau of Land Management",739,"Service Charges",10483038.49
"Department of the Interior","Bureau of Land Management",807,"Lincoln County Land Act",1291063.27
"Department of the Interior","Bureau of Land Management",783,"Southern Nevada Public Land Management",62384633.91
"Department of the Interior","Bureau of Land Management",800,"Recreation Enhancement Fee Program",8509129.68
"Department of the Interior","Bureau of Land Management",794,"Federal Land Disposal Account",3500
"Department of the Interior","Bureau of Land Management",792,"Timber Sales Pipeline Restoration Fund",1702090.34
"Department of the Interior","Bureau of Land Management",778,"Forest Ecosystems Health and Recovery",1838916.68
"Department of the Interior","Bureau of Land Management",748,"Operation and Maintenance of Quarters",290304.95
"Department of the Interior","Bureau of Land Management",740,"Expenses, Road Maintenance Deposits",951690.84
"Department of the Interior","Bureau of Land Management",797,"Use of Receipts from Mineral Leasing Activities on Certain Naval Oil Shale Reserves",0
"Department of the Interior","Bureau of Land Management",822,"Stewardship Contracting Product Sales",75378.37
"Department of the Interior","Bureau of Land Management",833,"Permit Processing Fund",9673226.39
"Department of the Interior","Bureau of Land Management",835,"Geothermal Steam Implementation Fund",0
"Department of the Interior","Bureau of Land Management",836,"Naval Petroleum Reserve Numbered  Lease Revenue Account",374.8
"Department of the Interior","Bureau of Land Management",798,"White Pine County Special Account",35363.45
"Department of the Interior","Bureau of Land Management",827,"Washington County",0
"Department of the Interior","Bureau of Land Management",828,"Owyhee Land Acquisition Account",13500
"Department of the Interior","Bureau of Land Management",829,"Carson City Special Account",600
"Department of the Interior","Bureau of Land Management",830,"Silver Saddle Endowment Account",0
"Department of the Interior","Bureau of Land Management",839,"Ojito Land Acquisition",0
"Department of the Interior","Bureau of Land Management",766,"Payments to State and County from Clark County, Nevada Land Sales",11948593.65
"Department of the Interior","Bureau of Land Management",816,"Title II Projects on Federal Lands",159511.03
"Department of the Interior","Bureau of Land Management",667,"Cook Inlet Region",0
"Department of the Interior","Bureau of Land Management",738,"Payments to States from Grazing Receipts, Etc.",1215281.12
"Department of the Interior","Bureau of Land Management",743,"Payments to States from Grazing Receipts, Etc.",1700550.6
"Department of the Interior","Bureau of Land Management",746,"Payments to States from Grazing Receipts, Etc., Public Lands within Grazing Districts, Miscellaneous",202259.37
"Department of the Interior","Bureau of Land Management",769,"Payments to States (Proceeds of Sales)",780139.91
"Department of the Interior","Bureau of Land Management",848,"Payments to Counties",18802430.06
"Department of the Interior","Bureau of Land Management",849,"Payments to Counties",359404.79
"Department of the Interior","Bureau of Land Management",850,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Coos Bay Wagon Road Grant Lands",262221.59
"Department of the Interior","Bureau of Land Management",831,"State Share",0
"Department of the Interior","Bureau of Land Management",719,"Helium Fund",6425654.31
"Department of the Interior","Bureau of Land Management",731,"Working Capital Fund",21826690.31
"Department of the Interior","Bureau of Land Management",874,"Land and Resources Management Trust Fund",5399651.03
"Department of the Interior","Bureau of Ocean Energy Management",691,"Ocean Energy Management",71698756.08
"Department of the Interior","Bureau of Safety and Environmental Enforcement",686,"Offshore Safety and Environmental Enforcement",102444112.57
"Department of the Interior","Bureau of Safety and Environmental Enforcement",881,"Oil Spill Research",4145688.87
"Department of the Interior","Bureau of Safety and Environmental Enforcement",692,"Oil Spill Research",0
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",687,"Regulation and Technology",34821254.91
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",756,"Regulation and Technology",0
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",737,"Abandoned Mine Reclamation Fund",116246004.7
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",689,"Payments in Lieu of Coal Fee Receipts",4597359.61
"Department of the Interior","Office of Surface Mining Reclamation and Enforcement",690,"Supplemental Payments to UMWA Health Plans",179785126.1
"Department of the Interior","Bureau of Reclamation",640,"Water and Related Resources",417422108.93
"Department of the Interior","Bureau of Reclamation",764,"Recreation Enhancement Fee Program",198342.44
"Department of the Interior","Bureau of Reclamation",752,"Operation and Maintenance of Quarters",288492.97
"Department of the Interior","Bureau of Reclamation",754,"Operation",17510.07
"Department of the Interior","Bureau of Reclamation",755,"Payments to Farmers' Irrigation District (North Platte Project Neb.-Wyo.)",0
"Department of the Interior","Bureau of Reclamation",762,"Payments to Local Units, Klamath Reclamation Area",0
"Department of the Interior","Bureau of Reclamation",641,"Water and Related Resources - Recovery Act",0
"Department of the Interior","Bureau of Reclamation",644,"California Bay-Delta Restoration",12052427.08
"Department of the Interior","Bureau of Reclamation",714,"Taos Settlement Fund",0
